'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000004';'0.000704'
1000;'0.000002';'0.001615'
1000;'0.000002';'0.001169'
1000;'0.000002';'0.002371'
1000;'0.000002';'0.000877'
1000;'0.000002';'0.000557'
1000;'0.000002';'0.000605'
1000;'0.000002';'0.000533'
1000;'0.000001';'0.000583'
1000;'0.000002';'0.000586'
1100;'0.000001';'0.009660'
1100;'0.000001';'0.000734'
1100;'0.000002';'0.000488'
1100;'0.000002';'0.000376'
1100;'0.000002';'0.000869'
1100;'0.000002';'0.000525'
1100;'0.000002';'0.001472'
1100;'0.000002';'0.004351'
1100;'0.000002';'0.000645'
1100;'0.000002';'0.001671'
1200;'0.000002';'0.000472'
1200;'0.000001';'0.000480'
1200;'0.000002';'0.001660'
1200;'0.000002';'0.001063'
1200;'0.000002';'0.000500'
1200;'0.000002';'0.000518'
1200;'0.000001';'0.012661'
1200;'0.000001';'0.001009'
1200;'0.000002';'0.000637'
1200;'0.000002';'0.000527'
1300;'0.000004';'0.000535'
1300;'0.000004';'0.000596'
1300;'0.000005';'0.000525'
1300;'0.000005';'0.000478'
1300;'0.000005';'0.000646'
1300;'0.000004';'0.000559'
1300;'0.000004';'0.000607'
1300;'0.000005';'0.001040'
1300;'0.000005';'0.000543'
1300;'0.000004';'0.000631'
1400;'0.000001';'0.000502'
1400;'0.000002';'0.000518'
1400;'0.000001';'0.000638'
1400;'0.000002';'0.000471'
1400;'0.000002';'0.000887'
1400;'0.000002';'0.000770'
1400;'0.000002';'0.000537'
1400;'0.000002';'0.000729'
1400;'0.000001';'0.000562'
1400;'0.000002';'0.000546'
1500;'0.000002';'0.000621'
1500;'0.000002';'0.000635'
1500;'0.000002';'0.000646'
1500;'0.000002';'0.000571'
1500;'0.000001';'0.000769'
1500;'0.000001';'0.000477'
1500;'0.000002';'0.000495'
1500;'0.000001';'0.000723'
1500;'0.000002';'0.000437'
1500;'0.000002';'0.001030'
1600;'0.000006';'0.000508'
1600;'0.000006';'0.000643'
1600;'0.000007';'0.000428'
1600;'0.000007';'0.000395'
1600;'0.000006';'0.000528'
1600;'0.000007';'0.000565'
1600;'0.000006';'0.000561'
1600;'0.000007';'0.000451'
1600;'0.000007';'0.000499'
1600;'0.000006';'0.000521'
1700;'0.000007';'0.000503'
1700;'0.000007';'0.007465'
1700;'0.000007';'0.000361'
1700;'0.000007';'0.000345'
1700;'0.000007';'0.000700'
1700;'0.000007';'0.000550'
1700;'0.000007';'0.000532'
1700;'0.000007';'0.000685'
1700;'0.000007';'0.000660'
1700;'0.000007';'0.000593'
1800;'0.000002';'0.000542'
1800;'0.000002';'0.000514'
1800;'0.000002';'0.000524'
1800;'0.000001';'0.000529'
1800;'0.000001';'0.000567'
1800;'0.000002';'0.000501'
1800;'0.000003';'0.000483'
1800;'0.000002';'0.000381'
1800;'0.000002';'0.000586'
1800;'0.000002';'0.000686'
1900;'0.000007';'0.000521'
1900;'0.000008';'0.000553'
1900;'0.000007';'0.000545'
1900;'0.000008';'0.000441'
1900;'0.000008';'0.000402'
1900;'0.000008';'0.000598'
1900;'0.000008';'0.000819'
1900;'0.000008';'0.000634'
1900;'0.000007';'0.000691'
1900;'0.000007';'0.000494'
2000;'0.000001';'0.000602'
2000;'0.000002';'0.000459'
2000;'0.000002';'0.000859'
2000;'0.000002';'0.000475'
2000;'0.000001';'0.000470'
2000;'0.000001';'0.000476'
2000;'0.000002';'0.000481'
2000;'0.000001';'0.000635'
2000;'0.000002';'0.000493'
2000;'0.000002';'0.000576'
2100;'0.000008';'0.000544'
2100;'0.000009';'0.000472'
2100;'0.000008';'0.000554'
