'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000008';'0.001364'
1000;'0.000009';'0.007700'
1000;'0.000003';'0.002196'
1000;'0.000004';'0.000378'
1000;'0.000003';'0.003158'
1000;'0.000004';'0.001252'
1000;'0.000009';'0.000488'
1000;'0.000003';'0.000615'
1000;'0.000004';'0.000558'
1000;'0.000003';'0.000499'
1000;'0.000003';'0.005327'
1000;'0.000003';'0.000462'
1000;'0.000004';'0.000739'
1000;'0.000003';'0.000641'
1000;'0.000003';'0.000704'
1000;'0.000003';'0.000507'
1000;'0.000003';'0.000804'
1000;'0.000004';'0.000621'
1000;'0.000004';'0.000467'
1000;'0.000003';'0.000679'
1000;'0.000004';'0.007431'
1000;'0.000003';'0.005486'
1000;'0.000003';'0.000534'
1000;'0.000004';'0.000593'
1000;'0.000003';'0.000504'
1000;'0.000004';'0.000886'
1000;'0.000003';'0.000664'
1000;'0.000003';'0.000757'
1000;'0.000004';'0.000936'
1000;'0.000003';'0.000638'
1000;'0.000003';'0.000685'
1000;'0.000003';'0.000764'
1000;'0.000003';'0.000788'
1000;'0.000004';'0.000749'
1000;'0.000004';'0.001394'
1000;'0.000004';'0.000770'
1000;'0.000004';'0.000565'
1000;'0.000003';'0.000592'
1000;'0.000003';'0.000529'
1000;'0.000003';'0.001160'
1000;'0.000003';'0.000460'
1000;'0.000004';'0.000533'
1000;'0.000004';'0.000518'
1000;'0.000003';'0.000622'
1000;'0.000004';'0.000455'
1000;'0.000004';'0.000747'
1000;'0.000003';'0.000506'
1000;'0.000004';'0.000655'
1000;'0.000003';'0.000458'
1000;'0.000003';'0.000463'
1000;'0.000003';'0.000483'
1000;'0.000003';'0.000508'
1000;'0.000003';'0.000609'
1000;'0.000004';'0.000511'
1000;'0.000004';'0.000435'
1000;'0.000004';'0.000595'
1000;'0.000004';'0.000618'
1000;'0.000003';'0.000590'
1000;'0.000003';'0.000632'
1000;'0.000004';'0.000638'
1000;'0.000003';'0.000693'
1000;'0.000004';'0.000431'
1000;'0.000003';'0.000489'
1000;'0.000004';'0.000464'
1000;'0.000004';'0.000509'
1000;'0.000003';'0.001662'
1000;'0.000004';'0.000523'
1000;'0.000003';'0.001798'
1000;'0.000004';'0.000811'
1000;'0.000004';'0.000553'
1000;'0.000003';'0.000477'
1000;'0.000003';'0.001249'
1000;'0.000002';'0.000762'
1000;'0.000004';'0.000539'
1000;'0.000004';'0.000592'
1000;'0.000004';'0.000567'
1000;'0.000003';'0.000429'
1000;'0.000003';'0.000649'
1000;'0.000003';'0.000499'
1000;'0.000003';'0.000480'
1000;'0.000003';'0.000479'
1000;'0.000003';'0.000489'
1000;'0.000003';'0.006228'
1000;'0.000003';'0.000470'
1000;'0.000003';'0.000509'
1000;'0.000003';'0.001128'
1000;'0.000004';'0.000360'
1000;'0.000003';'0.001707'
1000;'0.000003';'0.000652'
1000;'0.000004';'0.000608'
1000;'0.000004';'0.000451'
1000;'0.000003';'0.000485'
1000;'0.000003';'0.000533'
1000;'0.000003';'0.000737'
1000;'0.000003';'0.000821'
1000;'0.000004';'0.000401'
1000;'0.000003';'0.000623'
1000;'0.000004';'0.000639'
1000;'0.000004';'0.000516'
1000;'0.000004';'0.000514'
1100;'0.000002';'0.000435'
1100;'0.000002';'0.000717'
1100;'0.000001';'0.000500'
1100;'0.000002';'0.000824'
1100;'0.000003';'0.000535'
1100;'0.000002';'0.000649'
1100;'0.000002';'0.002003'
1100;'0.000002';'0.000376'
1100;'0.000002';'0.000414'
1100;'0.000001';'0.000482'
1100;'0.000001';'0.000488'
1100;'0.000001';'0.000533'
1100;'0.000001';'0.000520'
1100;'0.000002';'0.000423'
1100;'0.000002';'0.000474'
1100;'0.000002';'0.000554'
1100;'0.000002';'0.000519'
1100;'0.000002';'0.000539'
1100;'0.000002';'0.000923'
1100;'0.000002';'0.000546'
1100;'0.000002';'0.000531'
1100;'0.000001';'0.000595'
1100;'0.000002';'0.000471'
1100;'0.000001';'0.000596'
1100;'0.000002';'0.000502'
1100;'0.000001';'0.000480'
1100;'0.000001';'0.000563'
1100;'0.000002';'0.000781'
1100;'0.000001';'0.000713'
1100;'0.000002';'0.000632'
1100;'0.000002';'0.000648'
1100;'0.000002';'0.000670'
1100;'0.000001';'0.000713'
1100;'0.000001';'0.000472'
1100;'0.000002';'0.000474'
