'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000007';'0.001562'
1000;'0.000008';'0.001601'
1000;'0.000007';'0.003674'
1000;'0.000003';'0.003481'
1000;'0.000002';'0.000416'
1000;'0.000003';'0.000965'
1000;'0.000003';'0.000678'
1000;'0.000003';'0.000734'
1000;'0.000003';'0.000533'
1000;'0.000003';'0.001127'
2000;'0.000003';'0.001766'
2000;'0.000003';'0.000763'
2000;'0.000003';'0.007330'
2000;'0.000003';'0.000527'
2000;'0.000003';'0.000644'
2000;'0.000003';'0.000632'
2000;'0.000003';'0.000764'
2000;'0.000003';'0.000507'
2000;'0.000003';'0.000879'
2000;'0.000003';'0.000479'
3000;'0.000004';'0.000649'
3000;'0.000004';'0.000524'
3000;'0.000004';'0.000598'
3000;'0.000004';'0.000825'
3000;'0.000005';'0.000443'
3000;'0.000004';'0.000710'
3000;'0.000004';'0.000728'
3000;'0.000004';'0.000661'
3000;'0.000005';'0.000486'
3000;'0.000004';'0.000766'
4000;'0.000004';'0.000505'
4000;'0.000004';'0.000500'
4000;'0.000005';'0.000519'
4000;'0.000005';'0.000509'
4000;'0.000005';'0.000590'
4000;'0.000004';'0.000384'
4000;'0.000005';'0.000543'
4000;'0.000005';'0.000478'
4000;'0.000004';'0.000558'
4000;'0.000004';'0.000759'
5000;'0.000003';'0.001189'
5000;'0.000003';'0.000930'
5000;'0.000003';'0.000645'
5000;'0.000002';'0.000652'
5000;'0.000002';'0.000535'
5000;'0.000002';'0.000538'
5000;'0.000003';'0.000548'
5000;'0.000002';'0.000536'
5000;'0.000002';'0.000539'
5000;'0.000003';'0.000540'
6000;'0.000014';'0.000919'
6000;'0.000014';'0.001065'
6000;'0.000014';'0.000833'
6000;'0.000014';'0.000528'
6000;'0.000014';'0.000597'
6000;'0.000014';'0.000637'
6000;'0.000014';'0.000542'
6000;'0.000014';'0.000551'
6000;'0.000014';'0.002457'
6000;'0.000014';'0.000502'
7000;'0.000012';'0.000446'
7000;'0.000012';'0.000752'
7000;'0.000012';'0.000441'
7000;'0.000012';'0.000408'
7000;'0.000011';'0.000755'
7000;'0.000012';'0.000639'
7000;'0.000012';'0.001305'
7000;'0.000012';'0.000564'
7000;'0.000012';'0.000706'
7000;'0.000012';'0.000554'
8000;'0.000018';'0.000597'
8000;'0.000019';'0.000524'
8000;'0.000019';'0.000586'
8000;'0.000019';'0.000499'
8000;'0.000018';'0.000639'
8000;'0.000018';'0.000608'
8000;'0.000019';'0.000500'
8000;'0.000018';'0.000713'
8000;'0.000019';'0.000555'
8000;'0.000018';'0.000565'
9000;'0.000012';'0.000583'
9000;'0.000012';'0.000653'
9000;'0.000012';'0.007002'
9000;'0.000012';'0.001052'
9000;'0.000012';'0.000585'
9000;'0.000012';'0.000607'
9000;'0.000012';'0.000596'
9000;'0.000011';'0.000653'
9000;'0.000012';'0.000434'
9000;'0.000012';'0.000906'
10000;'0.000034';'0.000596'
10000;'0.000032';'0.000449'
10000;'0.000034';'0.000864'
10000;'0.000033';'0.000567'
10000;'0.000034';'0.000717'
10000;'0.000034';'0.000835'
10000;'0.000034';'0.000578'
10000;'0.000034';'0.000869'
10000;'0.000034';'0.000891'
10000;'0.000034';'0.000589'
11000;'0.000013';'0.000494'
11000;'0.000055';'0.000597'
11000;'0.000013';'0.000620'
11000;'0.000012';'0.000555'
11000;'0.000013';'0.009255'
11000;'0.000013';'0.000894'
11000;'0.000013';'0.000783'
11000;'0.000012';'0.001286'
11000;'0.000012';'0.001154'
11000;'0.000013';'0.000602'
12000;'0.000084';'0.000593'
12000;'0.000041';'0.000635'
12000;'0.000051';'0.000578'
12000;'0.000041';'0.001008'
12000;'0.000041';'0.000629'
12000;'0.000040';'0.001664'
12000;'0.000040';'0.000629'
12000;'0.000040';'0.000542'
12000;'0.000041';'0.000734'
12000;'0.000040';'0.000563'
13000;'0.000055';'0.000579'
13000;'0.000014';'0.000580'
13000;'0.000014';'0.000867'
13000;'0.000014';'0.008062'
13000;'0.000014';'0.000577'
13000;'0.000015';'0.000763'
13000;'0.000014';'0.000897'
13000;'0.000014';'0.000874'
13000;'0.000022';'0.000630'
13000;'0.000015';'0.000773'
14000;'0.000046';'0.000834'
14000;'0.000046';'0.000740'
14000;'0.000046';'0.000836'
14000;'0.000047';'0.000940'
14000;'0.000047';'0.000626'
14000;'0.000047';'0.000781'
14000;'0.000047';'0.000626'
14000;'0.000048';'0.000647'
14000;'0.000047';'0.000625'
14000;'0.000047';'0.000729'
15000;'0.000012';'0.000812'
15000;'0.000012';'0.000789'
15000;'0.000012';'0.000508'
15000;'0.000012';'0.001066'
15000;'0.000012';'0.003342'
15000;'0.000012';'0.000663'
15000;'0.000011';'0.000606'
15000;'0.000012';'0.001531'
15000;'0.000011';'0.000841'
15000;'0.000012';'0.000684'
16000;'0.000018';'0.000688'
16000;'0.000018';'0.000817'
16000;'0.000019';'0.000674'
16000;'0.000018';'0.000753'
16000;'0.000018';'0.000821'
16000;'0.000018';'0.001249'
16000;'0.000019';'0.000820'
16000;'0.000018';'0.000670'
