'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
220;'0.000003';'0.000684'
220;'0.000002';'0.000446'
220;'0.000002';'0.000449'
220;'0.000002';'0.000805'
220;'0.000002';'0.001098'
220;'0.000002';'0.000781'
220;'0.000002';'0.000836'
220;'0.000003';'0.000663'
220;'0.000002';'0.000744'
230;'0.000001';'0.000541'
230;'0.000002';'0.000843'
230;'0.000002';'0.000765'
230;'0.000001';'0.000627'
230;'0.000002';'0.000899'
230;'0.000002';'0.000595'
230;'0.000002';'0.000806'
230;'0.000002';'0.001029'
230;'0.000002';'0.000776'
230;'0.000001';'0.000556'
240;'0.000001';'0.000625'
240;'0.000002';'0.000718'
240;'0.000002';'0.000512'
240;'0.000002';'0.001330'
240;'0.000001';'0.000752'
240;'0.000002';'0.000619'
240;'0.000002';'0.001104'
240;'0.000001';'0.000597'
240;'0.000002';'0.000634'
240;'0.000002';'0.000585'
250;'0.000001';'0.000674'
250;'0.000002';'0.000661'
250;'0.000001';'0.000715'
250;'0.000002';'0.000489'
250;'0.000002';'0.000531'
250;'0.000001';'0.000483'
250;'0.000001';'0.000791'
250;'0.000002';'0.000632'
250;'0.000001';'0.002209'
250;'0.000001';'0.000849'
260;'0.000003';'0.000841'
260;'0.000002';'0.000653'
260;'0.000002';'0.000971'
260;'0.000002';'0.000734'
260;'0.000002';'0.000964'
260;'0.000002';'0.001066'
260;'0.000002';'0.000828'
260;'0.000003';'0.000882'
260;'0.000003';'0.000605'
260;'0.000002';'0.000884'
270;'0.000002';'0.000702'
270;'0.000002';'0.000700'
270;'0.000002';'0.000751'
270;'0.000002';'0.000712'
270;'0.000002';'0.000971'
270;'0.000002';'0.000646'
270;'0.000002';'0.000650'
270;'0.000003';'0.004300'
270;'0.000003';'0.000728'
270;'0.000003';'0.001802'
280;'0.000002';'0.000863'
280;'0.000002';'0.000906'
280;'0.000003';'0.001073'
280;'0.000002';'0.000789'
280;'0.000002';'0.000828'
280;'0.000002';'0.000924'
280;'0.000003';'0.000655'
280;'0.000003';'0.001003'
280;'0.000002';'0.000753'
280;'0.000002';'0.000805'
290;'0.000002';'0.000537'
290;'0.000003';'0.000841'
290;'0.000002';'0.000732'
290;'0.000003';'0.000763'
290;'0.000003';'0.000790'
290;'0.000003';'0.000956'
290;'0.000002';'0.000673'
290;'0.000003';'0.000758'
290;'0.000003';'0.000548'
290;'0.000002';'0.000887'
300;'0.000002';'0.000885'
300;'0.000002';'0.001048'
300;'0.000002';'0.000751'
300;'0.000002';'0.000958'
300;'0.000002';'0.000717'
300;'0.000001';'0.000550'
300;'0.000002';'0.000763'
300;'0.000002';'0.000815'
300;'0.000002';'0.000756'
300;'0.000002';'0.000878'
310;'0.000002';'0.000592'
310;'0.000002';'0.000874'
310;'0.000001';'0.000744'
310;'0.000001';'0.000895'
310;'0.000001';'0.000605'
310;'0.000001';'0.000895'
310;'0.000001';'0.000948'
310;'0.000002';'0.001206'
310;'0.000001';'0.000987'
310;'0.000001';'0.001162'
320;'0.000003';'0.000786'
320;'0.000002';'0.000565'
320;'0.000002';'0.000866'
320;'0.000002';'0.001794'
320;'0.000002';'0.000990'
320;'0.000002';'0.000622'
320;'0.000002';'0.000948'
320;'0.000003';'0.000700'
320;'0.000002';'0.000896'
320;'0.000002';'0.000958'
330;'0.000002';'0.001413'
330;'0.000002';'0.000815'
330;'0.000002';'0.000782'
330;'0.000002';'0.000918'
330;'0.000002';'0.000583'
330;'0.000002';'0.000750'
330;'0.000002';'0.000917'
330;'0.000002';'0.000869'
330;'0.000002';'0.001216'
330;'0.000002';'0.001048'
340;'0.000003';'0.001253'
340;'0.000002';'0.001031'
340;'0.000002';'0.003335'
340;'0.000003';'0.001046'
340;'0.000003';'0.000773'
340;'0.000003';'0.000775'
340;'0.000002';'0.000763'
340;'0.000002';'0.000926'
340;'0.000003';'0.000754'
340;'0.000003';'0.000776'
350;'0.000002';'0.000792'
350;'0.000002';'0.000783'
350;'0.000003';'0.000779'
350;'0.000003';'0.000789'
350;'0.000003';'0.000795'
350;'0.000003';'0.000713'
350;'0.000002';'0.000916'
350;'0.000002';'0.001064'
350;'0.000002';'0.001104'
350;'0.000002';'0.000881'
360;'0.000002';'0.000855'
360;'0.000002';'0.000783'
360;'0.000001';'0.000769'
360;'0.000002';'0.001189'
360;'0.000003';'0.000916'
360;'0.000002';'0.000832'
360;'0.000001';'0.000842'
360;'0.000002';'0.001195'
360;'0.000002';'0.002276'
360;'0.000001';'0.000967'
370;'0.000002';'0.000905'
370;'0.000003';'0.000816'
370;'0.000002';'0.000794'
370;'0.000002';'0.001866'
370;'0.000002';'0.000883'
370;'0.000002';'0.001168'
370;'0.000990';'0.000925'
370;'0.000002';'0.000841'
370;'0.000002';'0.000905'
370;'0.000003';'0.000841'
380;'0.000003';'0.000884'
380;'0.000002';'0.003232'
380;'0.000003';'0.000897'
380;'0.000003';'0.000847'
380;'0.000003';'0.000828'
380;'0.000002';'0.000854'
380;'0.000003';'0.000850'
380;'0.000002';'0.000923'
380;'0.000003';'0.000865'
380;'0.000003';'0.001358'
390;'0.000003';'0.000965'
390;'0.000003';'0.004014'
390;'0.000002';'0.000962'
390;'0.000003';'0.000766'
390;'0.000003';'0.000782'
390;'0.000002';'0.000765'
390;'0.000003';'0.000818'
390;'0.000003';'0.000788'
390;'0.000002';'0.000818'
390;'0.000002';'0.000900'
400;'0.000003';'0.000807'
400;'0.000002';'0.000884'
400;'0.000003';'0.000891'
400;'0.000003';'0.000899'
400;'0.000002';'0.000779'
400;'0.000002';'0.000804'
400;'0.000003';'0.000795'
400;'0.000003';'0.000826'
400;'0.000003';'0.000802'
