'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
10;'0.000003';'0.002409'
120;'0.000003';'0.001266'
230;'0.000002';'0.001079'
340;'0.000002';'0.001612'
450;'0.000002';'0.001580'
560;'0.000003';'0.001461'
670;'0.000003';'0.001670'
780;'0.000003';'0.000836'
890;'0.000005';'0.000880'
1000;'0.000003';'0.000847'
1110;'0.000005';'0.001209'
1220;'0.000002';'0.001138'
1330;'0.000005';'0.001032'
1440;'0.000006';'0.002097'
1550;'0.000002';'0.001907'
1660;'0.000005';'0.002665'
1770;'0.000007';'0.002689'
1880;'0.000004';'0.002086'
1990;'0.000008';'0.001627'
2100;'0.000004';'0.002300'
2210;'0.000003';'0.002535'
2320;'0.000005';'0.001188'
2430;'0.000007';'0.001406'
2540;'0.000003';'0.000938'
2650;'0.000010';'0.001219'
2760;'0.000010';'0.001496'
2870;'0.000009';'0.001250'
2980;'0.000011';'0.001184'
3090;'0.000010';'0.000897'
3200;'0.000006';'0.002133'
3310;'0.000010';'0.001978'
3420;'0.000006';'0.001691'
3530;'0.000004';'0.000987'
3640;'0.000013';'0.001442'
3750;'0.000010';'0.001908'
3860;'0.000014';'0.001401'
3970;'0.000007';'0.001277'
4080;'0.000004';'0.001292'
4190;'0.000014';'0.000879'
4300;'0.000015';'0.001547'
4410;'0.000016';'0.001177'
4520;'0.000016';'0.001212'
4630;'0.000005';'0.002455'
4740;'0.000017';'0.004338'
4850;'0.000003';'0.001535'
4960;'0.000005';'0.002542'
5070;'0.000005';'0.001076'
5180;'0.000003';'0.001023'
5290;'0.000004';'0.001375'
5400;'0.000012';'0.001249'
5510;'0.000068';'0.001246'
5620;'0.000048';'0.001255'
5730;'0.000050';'0.001205'
5840;'0.000051';'0.001274'
5950;'0.000060';'0.002256'
6060;'0.000102';'0.001258'
6170;'0.000022';'0.001401'
6280;'0.000004';'0.001403'
6390;'0.000064';'0.001276'
6500;'0.000064';'0.001436'
6610;'0.000022';'0.001027'
6720;'0.000024';'0.001988'
6830;'0.000020';'0.000951'
6940;'0.000024';'0.002859'
7050;'0.000006';'0.002547'
7160;'0.000011';'0.001997'
7270;'0.000026';'0.004740'
7380;'0.000026';'0.001480'
7490;'0.000026';'0.001933'
7600;'0.000266';'0.001667'
7710;'0.000027';'0.001382'
7820;'0.000083';'0.001539'
7930;'0.000019';'0.001628'
8040;'0.000027';'0.001618'
8150;'0.000028';'0.001489'
8260;'0.000053';'0.001444'
8370;'0.000001';'0.002959'
8480;'0.000029';'0.001770'
8590;'0.000029';'0.001587'
8700;'0.000076';'0.001509'
8810;'0.000030';'0.001618'
8920;'0.000074';'0.001626'
9030;'0.000031';'0.001600'
9140;'0.000023';'0.001576'
9250;'0.000055';'0.001801'
9360;'0.000145';'0.001608'
9470;'0.000056';'0.001552'
9580;'0.000226';'0.002051'
9690;'0.000069';'0.001717'
9800;'0.000033';'0.001913'
9910;'0.000034';'0.001832'
10020;'0.000017';'0.002163'
10130;'0.000008';'0.001996'
10240;'0.000057';'0.001639'
10350;'0.000023';'0.002261'
10460;'0.000028';'0.003430'
10570;'0.000028';'0.001545'
10680;'0.000019';'0.001923'
10790;'0.000012';'0.001515'
10900;'0.000008';'0.001782'
