'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000008';'0.001087'
1000;'0.000005';'0.001677'
1000;'0.000003';'0.000829'
1000;'0.000004';'0.000391'
1000;'0.000004';'0.001312'
1000;'0.000004';'0.002017'
1000;'0.000004';'0.000540'
1000;'0.000003';'0.000867'
1000;'0.000003';'0.000475'
1000;'0.000003';'0.000383'
1000;'0.000003';'0.000798'
1000;'0.000003';'0.002083'
1000;'0.000003';'0.000501'
1000;'0.000004';'0.000659'
1000;'0.000003';'0.000898'
1000;'0.000003';'0.000335'
1000;'0.000004';'0.001327'
1000;'0.000003';'0.000335'
1000;'0.000003';'0.002175'
1000;'0.000003';'0.000509'
1000;'0.000003';'0.001105'
1000;'0.000003';'0.000442'
1000;'0.000003';'0.000374'
1000;'0.000004';'0.000677'
1000;'0.000004';'0.001018'
1000;'0.000004';'0.000548'
1000;'0.000003';'0.000489'
1000;'0.000004';'0.000485'
1000;'0.000003';'0.000529'
1000;'0.000004';'0.000807'
1000;'0.000004';'0.000480'
1000;'0.000003';'0.000467'
1000;'0.000004';'0.000472'
1000;'0.000004';'0.000477'
1000;'0.000003';'0.000614'
1000;'0.000003';'0.000476'
1000;'0.000004';'0.000495'
1000;'0.000003';'0.000366'
1000;'0.000003';'0.000473'
1000;'0.000003';'0.000552'
1000;'0.000004';'0.000374'
1000;'0.000003';'0.000492'
1000;'0.000003';'0.000462'
1000;'0.000004';'0.000469'
1000;'0.000004';'0.007295'
1000;'0.000003';'0.000487'
1000;'0.000003';'0.000556'
1000;'0.000003';'0.000563'
1000;'0.000003';'0.001446'
1000;'0.000003';'0.000580'
1000;'0.000003';'0.000587'
1000;'0.000003';'0.000547'
1000;'0.000003';'0.000479'
1000;'0.000003';'0.000422'
1000;'0.000004';'0.000414'
1000;'0.000003';'0.000418'
1000;'0.000003';'0.000426'
1000;'0.000003';'0.000550'
1000;'0.000003';'0.000610'
1000;'0.000003';'0.000595'
1000;'0.000003';'0.000673'
1000;'0.000004';'0.000609'
1000;'0.000004';'0.000570'
1000;'0.000003';'0.000474'
1000;'0.000004';'0.000476'
1000;'0.000003';'0.000581'
1000;'0.000003';'0.006686'
1000;'0.000003';'0.000481'
1000;'0.000003';'0.000550'
1000;'0.000003';'0.000628'
1000;'0.000003';'0.000703'
1000;'0.000003';'0.000571'
1000;'0.000003';'0.000597'
1000;'0.000004';'0.000505'
1000;'0.000003';'0.000488'
1000;'0.000003';'0.000479'
1000;'0.000004';'0.000525'
1000;'0.000004';'0.000436'
1000;'0.000003';'0.000653'
1000;'0.000003';'0.000593'
1000;'0.000003';'0.000525'
1000;'0.000003';'0.000537'
1000;'0.000004';'0.000580'
1000;'0.000003';'0.000428'
1000;'0.000004';'0.000772'
1000;'0.000003';'0.000420'
1000;'0.000003';'0.000461'
1000;'0.000004';'0.000422'
1000;'0.000003';'0.000538'
1000;'0.000004';'0.000632'
1000;'0.000003';'0.000582'
1000;'0.000004';'0.000663'
1000;'0.000004';'0.000376'
1000;'0.000004';'0.000622'
1000;'0.000004';'0.000453'
1000;'0.000003';'0.000679'
1000;'0.000004';'0.000390'
1000;'0.000004';'0.000872'
1000;'0.000004';'0.000529'
1000;'0.000036';'0.000512'
2000;'0.000006';'0.000424'
2000;'0.000006';'0.000604'
2000;'0.000006';'0.000598'
2000;'0.000006';'0.000517'
2000;'0.000006';'0.000649'
2000;'0.000006';'0.000516'
2000;'0.000006';'0.000434'
2000;'0.000006';'0.000669'
2000;'0.000006';'0.000516'
2000;'0.000006';'0.000492'
2000;'0.000006';'0.000582'
2000;'0.000006';'0.000504'
2000;'0.000006';'0.000487'
2000;'0.000006';'0.000597'
2000;'0.000006';'0.000438'
2000;'0.000006';'0.000432'
