'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
10;'0.000003';'0.001218'
10;'0.000001';'0.000332'
20;'0.000002';'0.000587'
20;'0.000001';'0.000410'
30;'0.000001';'0.000358'
30;'0.000009';'0.001294'
40;'0.000002';'0.000472'
40;'0.000002';'0.000538'
50;'0.000001';'0.000284'
50;'0.000002';'0.000497'
60;'0.000002';'0.000367'
60;'0.000001';'0.000507'
70;'0.000001';'0.000361'
70;'0.000001';'0.000357'
80;'0.000002';'0.000327'
80;'0.000001';'0.000534'
90;'0.000002';'0.000376'
90;'0.000002';'0.000357'
100;'0.000002';'0.000315'
100;'0.000001';'0.000331'
110;'0.000002';'0.000340'
110;'0.000002';'0.000345'
120;'0.000001';'0.000390'
120;'0.000002';'0.000416'
130;'0.000002';'0.000468'
130;'0.000002';'0.000283'
140;'0.000002';'0.000363'
140;'0.000001';'0.000294'
150;'0.000002';'0.000472'
150;'0.000002';'0.000336'
160;'0.000002';'0.001105'
160;'0.000002';'0.000513'
170;'0.000002';'0.000351'
170;'0.000002';'0.000324'
180;'0.000001';'0.001149'
180;'0.000002';'0.000283'
190;'0.000001';'0.000754'
190;'0.000002';'0.000299'
200;'0.000002';'0.000305'
200;'0.000002';'0.000298'
210;'0.000002';'0.000297'
210;'0.000002';'0.000238'
220;'0.000002';'0.001333'
220;'0.000002';'0.000467'
230;'0.000002';'0.000242'
230;'0.000002';'0.000294'
240;'0.000001';'0.000406'
240;'0.000002';'0.001010'
250;'0.000002';'0.005369'
250;'0.000002';'0.000261'
260;'0.000002';'0.000242'
260;'0.000002';'0.000288'
270;'0.000004';'0.000305'
270;'0.000002';'0.001844'
280;'0.000002';'0.000460'
280;'0.000002';'0.000455'
290;'0.000003';'0.000664'
290;'0.000003';'0.000414'
300;'0.000003';'0.000488'
300;'0.000003';'0.001239'
310;'0.000002';'0.000345'
310;'0.000003';'0.000344'
320;'0.000002';'0.000850'
320;'0.000003';'0.000293'
330;'0.000003';'0.000319'
330;'0.000003';'0.000294'
340;'0.000002';'0.000313'
340;'0.000003';'0.000306'
350;'0.000003';'0.000305'
350;'0.000002';'0.000285'
360;'0.000002';'0.000366'
360;'0.000002';'0.001138'
370;'0.000003';'0.001075'
370;'0.000003';'0.000422'
380;'0.000002';'0.000315'
380;'0.000002';'0.000296'
390;'0.000002';'0.000269'
390;'0.000002';'0.000293'
400;'0.000002';'0.000286'
400;'0.000002';'0.000277'
410;'0.000048';'0.000347'
410;'0.000044';'0.000293'
420;'0.000002';'0.000492'
420;'0.000002';'0.000267'
430;'0.000002';'0.000297'
430;'0.000002';'0.000291'
440;'0.000002';'0.000300'
440;'0.000053';'0.000297'
450;'0.000002';'0.000271'
450;'0.000046';'0.000303'
460;'0.000002';'0.000279'
460;'0.000002';'0.006536'
470;'0.000002';'0.000423'
470;'0.000002';'0.000456'
480;'0.000002';'0.000578'
480;'0.000002';'0.000264'
490;'0.000003';'0.000688'
490;'0.000002';'0.000347'
500;'0.000002';'0.000332'
500;'0.000001';'0.000231'
510;'0.000003';'0.000370'
510;'0.000003';'0.000226'
520;'0.000003';'0.000545'
520;'0.000003';'0.000327'
530;'0.000003';'0.000363'
530;'0.000004';'0.000291'
540;'0.000002';'0.000377'
540;'0.000002';'0.000411'
550;'0.000003';'0.001152'
550;'0.000003';'0.000339'
