'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000013';'0.001737'
1000;'0.000012';'0.000398'
1000;'0.000005';'0.001705'
1000;'0.000005';'0.000544'
1000;'0.000005';'0.001367'
1000;'0.000004';'0.004164'
1000;'0.000005';'0.000421'
1000;'0.000005';'0.000627'
1000;'0.000005';'0.000514'
1000;'0.000004';'0.000578'
1000;'0.000005';'0.001542'
1000;'0.000005';'0.000650'
1000;'0.000004';'0.000542'
1000;'0.000004';'0.004893'
1000;'0.000005';'0.000467'
1000;'0.000004';'0.000613'
1000;'0.000005';'0.000615'
1000;'0.000005';'0.000712'
1000;'0.000005';'0.001386'
1000;'0.000004';'0.000611'
1000;'0.000005';'0.000409'
1000;'0.000005';'0.000345'
1000;'0.000005';'0.000678'
1000;'0.000005';'0.000790'
1000;'0.000005';'0.000509'
1000;'0.000004';'0.000699'
1000;'0.000005';'0.000548'
1000;'0.000004';'0.000503'
1000;'0.000004';'0.000381'
1000;'0.000005';'0.000613'
1000;'0.000004';'0.000379'
1000;'0.000005';'0.000494'
1000;'0.000005';'0.000480'
1000;'0.000004';'0.000492'
1000;'0.000005';'0.002660'
1000;'0.000004';'0.000542'
1000;'0.000005';'0.000581'
1000;'0.000005';'0.002850'
1000;'0.000005';'0.000593'
1000;'0.000005';'0.000482'
1000;'0.000004';'0.000404'
1000;'0.000004';'0.000899'
1000;'0.000005';'0.000437'
1000;'0.000004';'0.000371'
1000;'0.000005';'0.000451'
1000;'0.000005';'0.000684'
1000;'0.000005';'0.000427'
1000;'0.000004';'0.000565'
1000;'0.000005';'0.000438'
1000;'0.000005';'0.000480'
1000;'0.000004';'0.000861'
1000;'0.000005';'0.000480'
1000;'0.000004';'0.000495'
1000;'0.000004';'0.000522'
1000;'0.000004';'0.000484'
1000;'0.000005';'0.000645'
1000;'0.000004';'0.000488'
1000;'0.000005';'0.000694'
1000;'0.000005';'0.000493'
1000;'0.000004';'0.000477'
1000;'0.000005';'0.007393'
1000;'0.000005';'0.000432'
1000;'0.000005';'0.000596'
1000;'0.000005';'0.000462'
1000;'0.000005';'0.000438'
1000;'0.000005';'0.000672'
1000;'0.000005';'0.000439'
1000;'0.000004';'0.000612'
1000;'0.000005';'0.000506'
1000;'0.000005';'0.000636'
1000;'0.000004';'0.000716'
