'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
1000;'0.000012';'0.003299'
1000;'0.000011';'0.006805'
1000;'0.000004';'0.002246'
1000;'0.000054';'0.007319'
1000;'0.000004';'0.001155'
1000;'0.000004';'0.005636'
1000;'0.000004';'0.002484'
1000;'0.000004';'0.001318'
1000;'0.000004';'0.001233'
1000;'0.000005';'0.001205'
2000;'0.000006';'0.001139'
2000;'0.000006';'0.001118'
2000;'0.000005';'0.000781'
2000;'0.000006';'0.001371'
2000;'0.000005';'0.001303'
2000;'0.000006';'0.001187'
2000;'0.000006';'0.001067'
2000;'0.000005';'0.001134'
2000;'0.000005';'0.001193'
2000;'0.000006';'0.001087'
3000;'0.000011';'0.001185'
3000;'0.000011';'0.001153'
3000;'0.000011';'0.001170'
3000;'0.000011';'0.000801'
3000;'0.000012';'0.001283'
3000;'0.000011';'0.002056'
3000;'0.000011';'0.001220'
3000;'0.000011';'0.000816'
3000;'0.000012';'0.001445'
3000;'0.000011';'0.001729'
4000;'0.000005';'0.000867'
4000;'0.000005';'0.001946'
4000;'0.000006';'0.001276'
4000;'0.000005';'0.000907'
4000;'0.000006';'0.001874'
4000;'0.000006';'0.001369'
4000;'0.000006';'0.001546'
4000;'0.000005';'0.002113'
4000;'0.000006';'0.001887'
4000;'0.000006';'0.000892'
5000;'0.000011';'0.008570'
5000;'0.000012';'0.001362'
5000;'0.000012';'0.001247'
5000;'0.000013';'0.001816'
5000;'0.000012';'0.001036'
5000;'0.000013';'0.001153'
5000;'0.000013';'0.000920'
5000;'0.000013';'0.001059'
5000;'0.000012';'0.001456'
5000;'0.000012';'0.001236'
6000;'0.000064';'0.008659'
6000;'0.000020';'0.001237'
6000;'0.000021';'0.003312'
6000;'0.000033';'0.001294'
6000;'0.000020';'0.001169'
6000;'0.000022';'0.001264'
6000;'0.000021';'0.001270'
6000;'0.000021';'0.001427'
6000;'0.000021';'0.001092'
6000;'0.000021';'0.001857'
7000;'0.000006';'0.001560'
7000;'0.000006';'0.001069'
7000;'0.000006';'0.005190'
7000;'0.000006';'0.001994'
7000;'0.000006';'0.002242'
7000;'0.000047';'0.001360'
7000;'0.000051';'0.003655'
7000;'0.000006';'0.001838'
7000;'0.000048';'0.001409'
7000;'0.000006';'0.002022'
8000;'0.000012';'0.001311'
8000;'0.000056';'0.001379'
8000;'0.000012';'0.001879'
8000;'0.000012';'0.001147'
8000;'0.000012';'0.001213'
8000;'0.000018';'0.001270'
8000;'0.000012';'0.002130'
8000;'0.000012';'0.002478'
8000;'0.000012';'0.001896'
8000;'0.000012';'0.001852'
9000;'0.000031';'0.002191'
9000;'0.000031';'0.002018'
9000;'0.000031';'0.001879'
9000;'0.000031';'0.002500'
9000;'0.000030';'0.001161'
9000;'0.000031';'0.001324'
9000;'0.000031';'0.001736'
9000;'0.000030';'0.001728'
9000;'0.000031';'0.008005'
9000;'0.000031';'0.001605'
10000;'0.000985';'0.001252'
10000;'0.000034';'0.002058'
10000;'0.000034';'0.002338'
10000;'0.000034';'0.001914'
10000;'0.000033';'0.001563'
10000;'0.000034';'0.001793'
10000;'0.000034';'0.001662'
10000;'0.000034';'0.001322'
10000;'0.000034';'0.003318'
10000;'0.000034';'0.005981'
11000;'0.000037';'0.002307'
11000;'0.000037';'0.001735'
11000;'0.000078';'0.001553'
11000;'0.000037';'0.001563'
11000;'0.000172';'0.001500'
11000;'0.000078';'0.001512'
11000;'0.000079';'0.001596'
11000;'0.000078';'0.001766'
11000;'0.000037';'0.001510'
11000;'0.000082';'0.002075'
12000;'0.000071';'0.001559'
12000;'0.000073';'0.002096'
12000;'0.000074';'0.001668'
12000;'0.000074';'0.001522'
12000;'0.000034';'0.001638'
12000;'0.000034';'0.001720'
12000;'0.000034';'0.002184'
12000;'0.000033';'0.002176'
12000;'0.000077';'0.001663'
12000;'0.000033';'0.001843'
13000;'0.000044';'0.002010'
13000;'0.000044';'0.002418'
13000;'0.000044';'0.001882'
13000;'0.000088';'0.001719'
13000;'0.000043';'0.001971'
13000;'0.000043';'0.001870'
13000;'0.000044';'0.001798'
13000;'0.000044';'0.001471'
13000;'0.000044';'0.001620'
13000;'0.000044';'0.001338'
14000;'0.000006';'0.001704'
14000;'0.000006';'0.001762'
14000;'0.000006';'0.001563'
14000;'0.000006';'0.001752'
14000;'0.000006';'0.001628'
14000;'0.000053';'0.001636'
14000;'0.000006';'0.002368'
14000;'0.000006';'0.002077'
14000;'0.000005';'0.002179'
14000;'0.000006';'0.002598'
15000;'0.000009';'0.002187'
15000;'0.000009';'0.002043'
15000;'0.000009';'0.002156'
15000;'0.000009';'0.001766'
15000;'0.000009';'0.001924'
15000;'0.000009';'0.001776'
15000;'0.000009';'0.001800'
15000;'0.000009';'0.002190'
15000;'0.000008';'0.001962'
15000;'0.000070';'0.001819'
16000;'0.000053';'0.005733'
16000;'0.000053';'0.001932'
16000;'0.000053';'0.001993'
16000;'0.000053';'0.001932'
16000;'0.000053';'0.001778'
16000;'0.000053';'0.002222'
16000;'0.000053';'0.001783'
16000;'0.000060';'0.003174'
16000;'0.000053';'0.001889'
16000;'0.000054';'0.005674'
17000;'0.000100';'0.002468'
17000;'0.000055';'0.001830'
17000;'0.000056';'0.001986'
17000;'0.000056';'0.001933'
17000;'0.000057';'0.001827'
17000;'0.000057';'0.001938'
17000;'0.000100';'0.008139'
17000;'0.000057';'0.001948'
17000;'0.000057';'0.001952'
17000;'0.000056';'0.001804'
18000;'0.000094';'0.001804'
18000;'0.000095';'0.001842'
18000;'0.000095';'0.002521'
18000;'0.000097';'0.001838'
18000;'0.000052';'0.001908'
18000;'0.000050';'0.001931'
18000;'0.000051';'0.003033'
18000;'0.000050';'0.002241'
18000;'0.000051';'0.002058'
18000;'0.000051';'0.001725'
19000;'0.000003';'0.001887'
19000;'0.000003';'0.002060'
19000;'0.000003';'0.001653'
